,^IBEX,ABE.MC,ANA.MC,BKT.MC,BBVA.MC,GAS.MC,ENG.MC,ITX.MC,SAB.MC,MRL.MC,IAG.MC,AMS.MC,REE.MC,CABK.MC,ELE.MC,MAP.MC,ACX.MC,AENA.MC,SAN.MC,FER.MC,CLNX.MC,ACS.MC,VIS.MC,IBE.MC,TRE.MC,MTS.MC,GRF.MC,MEL.MC,DIA.MC,TEF.MC,BKIA.MC,IDR.MC,COL.MC,TL5.MC,REP.MC,SGRE.MC
2017-01-02,,12.763455,68.223747,7.113617,6.095185,16.787455,23.08345,31.808895,1.29997,10.1914,5.072489,42.264629,16.907059,3.086298,18.908165,2.757876,12.146157,127.756447,4.591642,16.827974,13.666618,29.150118,46.265396,5.821262,36.522549,21.191999,18.801315,11.055959,4.592283,8.269828,3.899287,10.545,6.554826,10.847379,12.800164,19.484068
2017-01-03,9494.700195,12.849404,68.050095,7.249142,6.213492,16.726563,22.710756,31.491785,1.342655,10.030867,5.067665,42.337616,16.771702,3.182079,18.884794,2.812083,12.290526,128.09816,4.702983,17.297321,13.651726,29.216717,48.538033,5.780229,36.301853,21.378,18.796379,10.961928,4.54035,8.350189,4.066228,10.61,6.437426,10.813556,12.899538,19.434362
2017-01-04,9462.900391,12.830304,67.722092,7.246259,6.14724,16.525148,22.493744,31.194183,1.333924,10.094107,5.093717,42.337616,16.418514,3.168535,18.65107,2.798769,12.242403,126.633629,4.724154,17.199541,13.636832,28.788597,48.100048,5.732666,35.959072,21.27,19.349215,11.204427,4.520153,8.366076,4.070204,10.455,6.515692,10.799061,12.92793,19.364777
2017-01-05,9488.200195,13.006977,67.52916,7.250103,6.16901,16.492363,22.611685,30.686802,1.331984,10.079513,5.291523,42.697689,16.556925,3.207234,18.679115,2.81018,12.227966,128.488724,4.737954,17.414658,13.865189,28.755301,47.55014,5.739341,36.142204,22.065001,19.349215,11.189581,4.517268,8.54362,4.105977,10.57,6.508844,10.861874,12.946859,19.275309
2017-01-06,9515.900391,13.054728,67.577393,7.277017,6.214439,16.576674,22.573944,30.906342,1.347506,10.225452,5.251961,42.449524,16.418514,3.200461,18.739885,2.814936,12.213529,127.902901,4.764636,17.517328,13.770868,28.793352,48.168182,5.724084,36.541328,21.780001,19.314663,11.159886,4.543235,8.59221,4.094052,10.63,6.513736,10.881202,12.965786,19.344894
2017-01-09,9492.799805,13.107252,68.686798,7.208774,6.263304,16.440838,22.658863,31.09173,1.335864,10.176805,5.199856,42.541977,16.490105,3.185949,18.725863,2.775945,12.117284,129.367432,4.711272,17.683552,13.805617,28.588808,47.652336,5.746969,36.480289,21.627001,19.230747,11.273713,4.558622,8.574457,4.054304,10.63,6.447209,10.77007,12.842753,19.225605
2017-01-10,9452.0,12.987878,68.175507,7.208774,6.166304,16.211323,22.696604,30.862434,1.331984,10.137889,5.319504,42.629562,16.432833,3.188852,18.403324,2.760729,12.34346,129.660339,4.706669,17.571106,13.661655,28.622107,46.581718,5.690711,36.541328,22.65,19.102413,11.090601,4.512459,8.58567,4.002632,10.64,6.41786,10.803893,12.984715,19.439333
2017-01-11,9408.599609,12.921028,68.252686,7.177054,5.964543,16.155115,22.474874,30.6185,1.318402,10.186536,5.356171,42.576038,16.451921,3.170469,18.44072,2.737905,12.742878,131.515427,4.666178,17.580883,13.755976,29.121578,46.460056,5.713595,36.250198,23.150999,19.181389,11.115346,4.456678,8.538946,3.998657,10.655,6.439383,10.881202,13.155067,19.469154
2017-01-12,9407.400391,12.897154,68.918327,7.20589,5.934473,16.323738,22.753216,30.85268,1.296089,10.040596,5.301171,42.897186,16.576015,3.16273,18.618349,2.681797,11.886295,131.808334,4.656981,17.463549,13.805617,28.698219,46.231331,5.776529,36.128117,22.347,18.949396,10.966877,4.436482,8.561373,3.93506,10.485,6.395358,10.528481,13.278101,19.454245
2017-01-13,9511.599609,13.059502,69.371742,7.316424,6.048933,16.487679,22.913616,31.155155,1.29997,10.05519,5.417924,42.576038,16.590332,3.237226,18.562256,2.715081,11.996978,133.956314,4.737954,17.688442,13.820511,28.936064,46.708244,5.78511,35.343948,22.833,19.32947,10.986673,4.549005,8.615572,3.986732,10.625,6.476559,10.881202,13.448454,19.62324
2017-01-16,9410.0,13.045177,69.892677,7.207812,5.955813,16.614147,22.927769,30.818525,1.274746,10.016273,5.291523,42.352211,16.46624,3.181112,18.44072,2.713179,12.170219,133.272873,4.660659,17.414658,13.681511,28.541243,46.669315,5.74983,35.597507,22.997999,18.964203,10.887694,4.61248,8.495963,3.871463,10.65,6.469711,11.14695,13.349081,19.583477
2017-01-17,9394.900391,13.083376,71.474785,7.232803,5.945143,16.665672,22.885309,30.633139,1.280567,9.91898,5.491257,42.089458,16.552153,3.147249,18.370602,2.683699,11.972916,132.296509,4.639497,17.341324,13.825476,28.431833,46.606045,5.74983,35.503826,22.635,18.934587,10.793664,4.61248,8.490357,3.839665,10.695,6.456993,11.084137,13.349081,19.414482
2017-01-18,9386.200195,12.968778,71.175728,7.323153,5.952903,16.637568,22.654146,30.58923,1.276687,9.889792,5.446871,42.464127,16.471012,3.141445,18.295813,2.666581,12.107659,131.808334,4.655139,17.145761,13.651726,28.089338,46.664444,5.715502,35.41301,23.202,18.825994,10.729328,4.524,8.520259,3.823765,10.75,6.405141,10.948846,13.372742,19.334955
